model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss,domain_train_loss,domain_train_accuracy,domain_validation_loss,domain_validation_accuracy
realmlp,kpx_group_1,5,0.877726568987495,0.6466108560562134,0.5041728615760803,,,,,,,
realmlp,kpx_group_2,5,0.849629471176549,0.7668389081954956,0.3832899332046509,,,,,,,
realmlp,kpx_group_3,5,0.9362510442733765,0.7939309477806091,0.47614964842796326,,,,,,,
realmlp,all,6,0.8298616926921042,0.6236752271652222,0.5214781761169434,1.5746395227156187,0.38448164612054825,0.37254440784454346,0.6871055694002854,0.5566984477796053,0.6687850952148438,0.6428571343421936
realmlp,kpx_group_1,6,0.8101921661903984,0.6788169145584106,0.4819674789905548,,,,,,,
realmlp,kpx_group_2,6,0.79733607172966,0.5455411076545715,0.5727668404579163,,,,,,,
realmlp,kpx_group_3,6,0.882056840156254,0.6466675996780396,0.5097002387046814,,,,,,,
realmlp,all,7,0.777132428006122,0.5489183664321899,0.5744200348854065,1.5160780956870632,0.36872450928939016,0.3947339951992035,0.6836369829742532,0.5254548725328947,0.6448964476585388,0.7802197933197021
realmlp,kpx_group_1,7,0.7708985397690221,0.5595578551292419,0.5742893815040588,,,,,,,
realmlp,kpx_group_2,7,0.7413933081062216,0.5308965444564819,0.5806307792663574,,,,,,,
realmlp,kpx_group_3,7,0.8191054471229252,0.5563008189201355,0.5683398842811584,,,,,,,
realmlp,all,8,0.7235224129338014,0.5730416774749756,0.5637935996055603,1.4593170928327661,0.34712205631168264,0.39731717109680176,0.6837263719031685,0.5166208367598685,0.652346670627594,0.7770146727561951
realmlp,kpx_group_1,8,0.7031299660080358,0.5818035006523132,0.5637764930725098,,,,,,,
realmlp,kpx_group_2,8,0.6841573652468229,0.47579270601272583,0.6286913156509399,,,,,,,
realmlp,kpx_group_3,8,0.7832798989195573,0.6615288853645325,0.498913049697876,,,,,,,
realmlp,all,9,0.6723194114471737,0.559842050075531,0.5692198276519775,1.4080438896229392,0.3382202892711288,0.414982408285141,0.6849914232366964,0.5185739617598685,0.6720805168151855,0.7266483306884766
realmlp,kpx_group_1,9,0.6571865270012304,0.5641558766365051,0.5754002332687378,,,,,,,
realmlp,kpx_group_2,9,0.6488909313553258,0.4698084592819214,0.6270935535430908,,,,,,,
realmlp,kpx_group_3,9,0.7108807602995321,0.645561695098877,0.5051657557487488,,,,,,,
realmlp,all,10,0.6398149281740189,0.5583611726760864,0.57476407289505,1.3717513178524219,0.3275720057518859,0.4197486937046051,0.6828006043245918,0.5154836554276315,0.6650869250297546,0.7463369965553284
realmlp,kpx_group_1,10,0.6229100203827808,0.5715325474739075,0.5700013637542725,,,,,,,
realmlp,kpx_group_2,10,0.6081800060836893,0.4713667035102844,0.6289954781532288,,,,,,,
realmlp,kpx_group_3,10,0.6883547282532642,0.6321842670440674,0.5252955555915833,,,,,,,
realmlp,all,11,0.608344903117732,0.5229107737541199,0.6026368141174316,1.3412873227345317,0.3184191427732769,0.4072025716304779,0.6851795464754105,0.5020045230263158,0.6719699501991272,0.7097069621086121
realmlp,kpx_group_1,11,0.5988804996013641,0.5070068836212158,0.6191495656967163,,,,,,,
realmlp,kpx_group_2,11,0.5857390588835666,0.4567432105541229,0.6421080231666565,,,,,,,
realmlp,kpx_group_3,11,0.6404151210659429,0.6049822568893433,0.5466527342796326,,,,,,,
realmlp,all,12,0.5909760492412668,0.5200743079185486,0.6058347821235657,1.3241758895547766,0.31161611527204514,0.4105476438999176,0.6864574253559113,0.49200118215460525,0.6726222038269043,0.7078754305839539
