model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,six_hour_train_loss,six_hour_validation_loss,daily_train_loss,daily_validation_loss,learning_rate
realmlp,all,1,0.6272162124616782,0.6220024228096008,0.5147120021918687,0.6819728669315699,0.19416972034098517,0.17073024809360504,0.1592271760187849,0.13549824059009552,0.02
realmlp,kpx_group_1,1,0.6325020431164033,0.6406848430633545,0.5075050377592707,,,,,,
realmlp,kpx_group_2,1,0.6049434852534687,0.5665484070777893,0.5483087489175681,,,,,,
realmlp,kpx_group_3,1,0.6442030703416414,0.6587739586830139,0.48832221989876723,,,,,,
