model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
realmlp,kpx_group_1,2443,0.10758200583380054,0.8924179941661995,0.4553802500069662,0.38477282030290627,0.11461318051575932,0.5006139991813344
realmlp,kpx_group_2,2397,0.11660732964549836,0.8833926703545016,0.4640870523256112,0.3708802670004172,0.10763454317897372,0.5214851898206091
realmlp,kpx_group_3,2159,0.14104752968503192,0.858952470314968,0.365298037999325,0.3140342751273738,0.09124594719777675,0.5947197776748495
