model,target,step,train_loss,validation_loss,validation_score
realmlp,kpx_group_2,18,0.5864481303621741,0.4841296374797821,0.6214078664779663
realmlp,kpx_group_3,18,0.6375729406581205,0.5836531519889832,0.54764723777771
realmlp,all,19,0.6175781409530079,0.49686089158058167,0.6204832792282104
realmlp,kpx_group_1,19,0.6047844299498726,0.4768337905406952,0.639103353023529
realmlp,kpx_group_2,19,0.5896041235503029,0.527364194393158,0.5992748737335205
realmlp,kpx_group_3,19,0.6583458588403814,0.48638468980789185,0.623071551322937
realmlp,all,20,0.612737576751148,0.5464308261871338,0.584937572479248
realmlp,kpx_group_1,20,0.6031048639732248,0.5143936276435852,0.6155816316604614
realmlp,kpx_group_2,20,0.5848778091809329,0.5148892402648926,0.6035768389701843
realmlp,kpx_group_3,20,0.6502300579758251,0.6100097894668579,0.5356543064117432
realmlp,all,21,0.61558896215523,0.5113563537597656,0.6059823632240295
realmlp,kpx_group_1,21,0.6072326609316994,0.4923752546310425,0.6281974911689758
realmlp,kpx_group_2,21,0.5842732532935984,0.48785343766212463,0.6217038035392761
realmlp,kpx_group_3,21,0.6552609696107752,0.5538404583930969,0.5680458545684814
realmlp,all,22,0.6080558264956755,0.5510761737823486,0.5789301991462708
realmlp,kpx_group_1,22,0.6002859622240067,0.5966430902481079,0.5522854328155518
realmlp,kpx_group_2,22,0.5697338221704259,0.49541544914245605,0.6174763441085815
realmlp,kpx_group_3,22,0.6541476679198882,0.5611699223518372,0.5670288801193237
realmlp,all,23,0.597481254269095,0.5181353092193604,0.6010251641273499
realmlp,kpx_group_1,23,0.5907973463044447,0.4298693835735321,0.667492687702179
realmlp,kpx_group_2,23,0.5577661605442271,0.5004522204399109,0.6089284420013428
realmlp,kpx_group_3,23,0.6438802559586132,0.6240842342376709,0.5266544818878174
realmlp,all,24,0.5937338734374327,0.536580502986908,0.5913028120994568
realmlp,kpx_group_1,24,0.5882081503377241,0.5410478115081787,0.5949952602386475
realmlp,kpx_group_2,24,0.5525988769881865,0.4632711112499237,0.6343136429786682
realmlp,kpx_group_3,24,0.6403945780852262,0.6054226160049438,0.5445994734764099
realmlp,all,25,0.5792272511650535,0.5235417485237122,0.600487470626831
realmlp,kpx_group_1,25,0.5754096131114399,0.5022448301315308,0.6189852356910706
realmlp,kpx_group_2,25,0.5397006290800431,0.46049627661705017,0.6376145482063293
