model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
realmlp,kpx_group_1,2443,0.10816149206675972,0.8918385079332403,0.46949759339415,0.3888661481784691,0.11051985264019648,0.5006139991813344
realmlp,kpx_group_2,2397,0.1178167146224377,0.8821832853775623,0.47363795926446745,0.36587400917813934,0.10262828535669587,0.5314977054651648
realmlp,kpx_group_3,2159,0.13228006655325888,0.8677199334467411,0.38015685936227583,0.3237610004631774,0.09865678554886521,0.5775822139879574
