model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss
realmlp,all,1,1.0425916866344564,0.7234380841255188,0.43576478958129883,1.1815868563511793,0.9266344650703318,0.5846447944641113
realmlp,kpx_group_1,1,1.0435438655755098,0.7040889263153076,0.471357524394989,,,
realmlp,kpx_group_2,1,1.059428697999786,0.70224928855896,0.45329418778419495,,,
realmlp,kpx_group_3,1,1.0248024928219177,0.7639762163162231,0.3826427459716797,,,
realmlp,all,2,0.981726834879202,0.6999249458312988,0.4548934996128082,1.0802831246572382,0.6570418932858635,0.4329944849014282
realmlp,kpx_group_1,2,0.9678386230679119,0.743053138256073,0.4166746735572815,,,
realmlp,kpx_group_2,2,0.9857783422750586,0.6430069208145142,0.48877134919166565,,,
realmlp,kpx_group_3,2,0.9915635471834856,0.7137149572372437,0.45923447608947754,,,
realmlp,all,3,0.9512532256981906,0.6873269081115723,0.4735617935657501,1.0289076251142166,0.5176959708333015,0.39079317450523376
realmlp,kpx_group_1,3,0.925236867631183,0.633615255355835,0.5417677760124207,,,
realmlp,kpx_group_2,3,0.9569677438806085,0.6276458501815796,0.5342358350753784,,,
realmlp,kpx_group_3,3,0.9715550883727915,0.8007197380065918,0.3446817398071289,,,
realmlp,all,4,0.9183582163908902,0.6079887747764587,0.5569512248039246,0.9882216295775246,0.46575605431023764,0.37794479727745056
realmlp,kpx_group_1,4,0.8963370971819934,0.4992213845252991,0.6203542947769165,,,
realmlp,kpx_group_2,4,0.9176161867730758,0.5688648819923401,0.5542995929718018,,,
realmlp,kpx_group_3,4,0.9411213809953016,0.7558799982070923,0.4961996078491211,,,
realmlp,all,5,0.8795884935294881,0.6050352454185486,0.5307403802871704,0.9467380292275372,0.44766344042385325,0.3814089000225067
realmlp,kpx_group_1,5,0.8631005252108854,0.5480783581733704,0.5919267535209656,,,
realmlp,kpx_group_2,5,0.8775611353271148,0.522736132144928,0.5830867290496826,,,
realmlp,kpx_group_3,5,0.8981038498527864,0.7442913055419922,0.4172075390815735,,,
realmlp,all,6,0.8341561617220149,0.5902901291847229,0.5328221917152405,0.8975374610985026,0.422541960635606,0.37039169669151306
realmlp,kpx_group_1,6,0.8073567257207983,0.5544615387916565,0.5700611472129822,,,
realmlp,kpx_group_2,6,0.8331519163706723,0.6150678396224976,0.516686201095581,,,
realmlp,kpx_group_3,6,0.8619598220376408,0.6013408899307251,0.511719286441803,,,
realmlp,all,7,0.7920164010104012,0.6686263680458069,0.48956620693206787,0.8528063744306564,0.40526650933658376,0.36352968215942383
realmlp,kpx_group_1,7,0.7665255297632778,0.6940866708755493,0.46900230646133423,,,
realmlp,kpx_group_2,7,0.7919946812531528,0.6865140795707703,0.4734320640563965,,,
realmlp,kpx_group_3,7,0.8175289867555394,0.6252785325050354,0.5262641310691833,,,
realmlp,all,8,0.7303051501512527,0.6357452273368835,0.5156500935554504,0.7863276346641428,0.3734831419937751,0.38319048285484314
realmlp,kpx_group_1,8,0.7067742777221343,0.5821546912193298,0.5524413585662842,,,
realmlp,kpx_group_2,8,0.7261941257645103,0.6716381311416626,0.4906301200389862,,,
realmlp,kpx_group_3,8,0.7579470627448138,0.6534428596496582,0.5038788318634033,,,
realmlp,all,9,0.6907832990674412,0.5254430770874023,0.5957014560699463,0.7439976194325615,0.354762060677304,0.393246054649353
realmlp,kpx_group_1,9,0.6625832135186476,0.4792836010456085,0.6335922479629517,,,
realmlp,kpx_group_2,9,0.6989323207560707,0.4865666329860687,0.6171500086784363,,,
realmlp,kpx_group_3,9,0.7108343743226108,0.6104789972305298,0.5363622307777405,,,
realmlp,all,10,0.6525901967988295,0.5787789225578308,0.5618305206298828,0.7041569886838689,0.34377863608738957,0.3974204957485199
realmlp,kpx_group_1,10,0.629396775189568,0.5747045874595642,0.5707623362541199,,,
realmlp,kpx_group_2,10,0.6518069751122418,0.5453299283981323,0.5804988145828247,,,
realmlp,kpx_group_3,10,0.6765668269465951,0.6163021326065063,0.5342304110527039,,,
realmlp,all,11,0.6265101765885073,0.5427216291427612,0.5871670246124268,0.6767655795111376,0.3350360077970168,0.41579940915107727
realmlp,kpx_group_1,11,0.608333681436146,0.549034833908081,0.5862147808074951,,,
realmlp,kpx_group_2,11,0.6233215647585252,0.48009371757507324,0.6293172836303711,,,
realmlp,kpx_group_3,11,0.6478753037312451,0.5990363359451294,0.5459690093994141,,,
realmlp,all,12,0.6064529515364591,0.5243146419525146,0.6010097861289978,0.655563243171748,0.32740193736903805,0.41698071360588074
realmlp,kpx_group_1,12,0.5891525035395342,0.5181677341461182,0.6110742092132568,,,
realmlp,kpx_group_2,12,0.602144957465284,0.45719239115715027,0.6413395404815674,,,
realmlp,kpx_group_3,12,0.6280613760737812,0.5975838899612427,0.5506154298782349,,,
realmlp,all,13,0.5989878239000545,0.5208132863044739,0.6040123105049133,0.647494846407105,0.32338016962303834,0.4144885838031769
realmlp,kpx_group_1,13,0.5816922520889956,0.5167216658592224,0.6118192076683044,,,
realmlp,kpx_group_2,13,0.5913739458603018,0.4547850787639618,0.6452558040618896,,,
realmlp,kpx_group_3,13,0.6238972781335607,0.5909332633018494,0.5549620985984802,,,
realmlp,all,14,0.5971448368885938,0.5191540718078613,0.6047676205635071,0.645496715517605,0.3223458510987899,0.4160871207714081
realmlp,kpx_group_1,14,0.5825002745670431,0.5133780241012573,0.6147630214691162,,,
realmlp,kpx_group_2,14,0.5924154747934902,0.4539533853530884,0.6445009708404541,,,
realmlp,kpx_group_3,14,0.6165187569225535,0.5901307463645935,0.5550389289855957,,,
realmlp,all,15,0.5960238155196694,0.5111415982246399,0.6111406683921814,0.644283792551826,0.32173323105363283,0.42094817757606506
realmlp,kpx_group_1,15,0.5820228010416031,0.5011457204818726,0.623321533203125,,,
realmlp,kpx_group_2,15,0.5908470706028097,0.45224106311798096,0.6481198072433472,,,
realmlp,kpx_group_3,15,0.6152015547542011,0.5800379514694214,0.561980664730072,,,
realmlp,all,16,0.5980805044665056,0.481347918510437,0.6294496059417725,0.6465321875670377,0.32301124579766216,0.4189499616622925
realmlp,kpx_group_1,16,0.5819269374889486,0.4503270983695984,0.6555114984512329,,,
realmlp,kpx_group_2,16,0.5918757187969544,0.4472079277038574,0.650478184223175,,,
realmlp,kpx_group_3,16,0.6204388430889916,0.5465086698532104,0.5823591947555542,,,
realmlp,all,17,0.6032827067024568,0.5599353909492493,0.5761118531227112,0.6524506789796493,0.3277864841853871,0.3967004716396332
realmlp,kpx_group_1,17,0.5848754758343977,0.5810998678207397,0.5651789903640747,,,
realmlp,kpx_group_2,17,0.5945378971450469,0.484360009431839,0.6231093406677246,,,
realmlp,kpx_group_3,17,0.6304347173256033,0.6143462657928467,0.5400471687316895,,,
realmlp,all,18,0.6080936298650854,0.571043074131012,0.5690870881080627,0.6574743109590867,0.3292045137461494,0.4429877996444702
realmlp,kpx_group_1,18,0.5915457965696559,0.5708497166633606,0.5747761726379395,,,
realmlp,kpx_group_2,18,0.5994550480562097,0.563315212726593,0.5701318979263306,,,
realmlp,kpx_group_3,18,0.633280039710157,0.5789642930030823,0.5623531341552734,,,
realmlp,all,19,0.6105673076475368,0.5319632887840271,0.5938286185264587,0.659885544110747,0.328788181876435,0.42522385716438293
realmlp,kpx_group_1,19,0.5891794422093559,0.5791593790054321,0.5674150586128235,,,
realmlp,kpx_group_2,19,0.603879871613839,0.45521628856658936,0.6421425938606262,,,
realmlp,kpx_group_3,19,0.6386426266501931,0.5615142583847046,0.5719280242919922,,,
realmlp,all,20,0.6138585937373778,0.5265005230903625,0.594296395778656,0.6639023887760499,0.33362530566313686,0.42682895064353943
realmlp,kpx_group_1,20,0.5948646086103776,0.5489310026168823,0.5880571603775024,,,
realmlp,kpx_group_2,20,0.5989832334658679,0.4625478684902191,0.633729100227356,,,
realmlp,kpx_group_3,20,0.6477279443951214,0.5680227875709534,0.5611027479171753,,,
realmlp,all,21,0.6065476904897129,0.5341585278511047,0.5898677706718445,0.6563095231266582,0.33174553206738305,0.42873191833496094
realmlp,kpx_group_1,21,0.5877909949597191,0.5555208325386047,0.58249831199646,,,
realmlp,kpx_group_2,21,0.5892778310705634,0.48840928077697754,0.6200186610221863,,,
realmlp,kpx_group_3,21,0.6425742331673118,0.5585454702377319,0.5670863389968872,,,
realmlp,all,22,0.603017171516138,0.5373654365539551,0.5906971096992493,0.6523584171253092,0.32894161475055356,0.4244464933872223
realmlp,kpx_group_1,22,0.5858779479475582,0.5437448620796204,0.5959285497665405,,,
realmlp,kpx_group_2,22,0.5826076391865226,0.46610450744628906,0.6302295923233032,,,
realmlp,kpx_group_3,22,0.6405659326735664,0.6022470593452454,0.5459332466125488,,,
realmlp,all,23,0.593647210037007,0.5334019064903259,0.5881003737449646,0.6428567854797139,0.3280637965482824,0.4317336082458496
realmlp,kpx_group_1,23,0.5734106302261353,0.4823785424232483,0.6338132619857788,,,
realmlp,kpx_group_2,23,0.5725770180716234,0.5051283836364746,0.5958147048950195,,,
realmlp,kpx_group_3,23,0.6349539923317292,0.6126985549926758,0.5346732139587402,,,
realmlp,all,24,0.5853083098635954,0.5152890086174011,0.605344831943512,0.6337522566318512,0.32295961546547275,0.39299020171165466
realmlp,kpx_group_1,24,0.5623916799531263,0.5053391456604004,0.6174033880233765,,,
realmlp,kpx_group_2,24,0.5593521007720161,0.44578853249549866,0.6525076627731323,,,
realmlp,kpx_group_3,24,0.6341811383471769,0.5947394967079163,0.5461233854293823,,,
realmlp,all,25,0.5801783125190174,0.5326409339904785,0.5955862402915955,0.6291236886206795,0.3263025025234503,0.39078250527381897
realmlp,kpx_group_1,25,0.5688083539990818,0.5593811273574829,0.5811481475830078,,,
realmlp,kpx_group_2,25,0.5539113449699739,0.44798558950424194,0.6514220237731934,,,
realmlp,kpx_group_3,25,0.617815218427602,0.5905561447143555,0.5541885495185852,,,
realmlp,all,26,0.5648746613193961,0.5188336372375488,0.6046441197395325,0.6127550549366895,0.31920260848367915,0.41783109307289124
realmlp,kpx_group_1,26,0.5524759993833654,0.5090076327323914,0.6132093071937561,,,
realmlp,kpx_group_2,26,0.5397744415437474,0.4559152126312256,0.6464105844497681,,,
realmlp,kpx_group_3,26,0.6023735588087755,0.5915780067443848,0.554312527179718,,,
