model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
realmlp,kpx_group_1,2443,0.10702957059147639,0.8929704294085237,0.453105530095126,0.3982808022922636,0.09946786737617683,0.5022513303315596
realmlp,kpx_group_2,2397,0.11227362054100713,0.8877263794589929,0.47915706144878556,0.38881935753024616,0.1084689194826867,0.5027117229870671
realmlp,kpx_group_3,2159,0.13876948613784312,0.8612305138621569,0.36766067485724163,0.3144974525243168,0.09309865678554886,0.5924038906901343
