delivery_month,model,score,one_minus_nmae,ficr,kpx_group_1__nmae,kpx_group_1__ficr,kpx_group_2__nmae,kpx_group_2__ficr,kpx_group_3__nmae,kpx_group_3__ficr
2024-01,realmlp,0.6466262563758359,0.8490997890618179,0.444152723689854,0.1291712719296796,0.4595961186227476,0.1775688211781957,0.4785326077889203,0.1459605397066709,0.3943294446578939
2024-02,realmlp,0.6265560444455485,0.8509374645359129,0.4021746243551841,0.13735852104292,0.420335337016649,0.14556090691985,0.4713010288881773,0.1642681784294914,0.314887507160726
2024-03,realmlp,0.6418146459344812,0.8654353372531917,0.4181939546157707,0.1220167925574498,0.4448286105031466,0.147723703936025,0.4613478379028327,0.1339534917469499,0.3484054154413328
2024-04,realmlp,0.6521669229553588,0.892589036123554,0.4117448097871636,0.1033631715287045,0.4397276384159838,0.1134624150452243,0.4214376733211761,0.105407305055409,0.3740691176243312
2024-05,realmlp,0.6380171038315321,0.8691937896301537,0.4068404180329105,0.1249320928028996,0.4511428123387258,0.1251676731421997,0.460121306916262,0.1423188651644396,0.3092571348437437
2024-06,realmlp,0.6190790427275022,0.8725274974969258,0.3656305879580787,0.1310986591644025,0.3311836225724689,0.1364282175599818,0.3577043458773593,0.1148906307848381,0.4080037954244079
2024-07,realmlp,0.6400527903821326,0.8629042636418756,0.4172013171223896,0.1355331632751783,0.3664939713879203,0.1318818110970194,0.4859559342522337,0.1438722347021755,0.3991540457270149
2024-08,realmlp,0.6291915541980341,0.8820998461836876,0.3762832622123804,0.1100212699687477,0.4126349779051359,0.1162401620140233,0.3579965065428067,0.1274390294661661,0.3582183021891986
2024-09,realmlp,0.6822027358875787,0.9098553605939574,0.4545501111812,0.0881030003607495,0.4566461651671142,0.093044915335495,0.4546554983632462,0.0892860025218831,0.4523486700132397
2024-10,realmlp,0.6881838992613815,0.899479797302528,0.4768880012202348,0.0857268084975564,0.536242960287739,0.1052698341981367,0.4780177976175509,0.1105639653967227,0.4164032457554147
2024-11,realmlp,0.6612868364443848,0.8879247400142771,0.4346489328744925,0.0981098678860102,0.4905290553401545,0.1112323228881231,0.4702552420864119,0.1268835891830353,0.3431625011969111
2024-12,realmlp,0.6500787351323019,0.8763021485384235,0.4238553217261802,0.1052801782747223,0.4840805987364291,0.1087990927959399,0.4983726395932853,0.157014283314067,0.2891127268488261
