model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss
realmlp,all,1,1.0087489126359714,0.65598464012146,0.5047709345817566,1.1378397222827463,0.860605471274432,0.5492793917655945
realmlp,kpx_group_1,1,1.0208236250807257,0.6350112557411194,0.5299860835075378,,,
realmlp,kpx_group_2,1,0.99243685427834,0.6402058005332947,0.5052406787872314,,,
realmlp,kpx_group_3,1,1.0129862532896154,0.692736804485321,0.4790860414505005,,,
realmlp,all,2,0.9576814937240937,0.6687234044075012,0.4761347770690918,1.0431694739005144,0.5699198246002197,0.4055818021297455
realmlp,kpx_group_1,2,0.9838580182370018,0.6313629746437073,0.5064592361450195,,,
realmlp,kpx_group_2,2,0.9232727806357777,0.6137800812721252,0.529184103012085,,,
realmlp,kpx_group_3,2,0.9659137042129741,0.7610273957252502,0.3927610516548157,,,
realmlp,all,3,0.9296187302645516,0.7117210030555725,0.4532605707645416,0.9966875875697416,0.4471256597077145,0.4032208025455475
realmlp,kpx_group_1,3,0.939476234071395,0.7474825382232666,0.46305087208747864,,,
realmlp,kpx_group_2,3,0.8924301477039561,0.6134614944458008,0.5293170213699341,,,
realmlp,kpx_group_3,3,0.9569498098948422,0.7742190361022949,0.3674139380455017,,,
realmlp,all,4,0.9046323728912017,0.7294314503669739,0.4197190999984741,0.9690998249194201,0.42978299496804967,0.40058204531669617
realmlp,kpx_group_1,4,0.9141456440967672,0.6422313451766968,0.49345865845680237,,,
realmlp,kpx_group_2,4,0.8715359936742222,0.6025201082229614,0.5279414653778076,,,
realmlp,kpx_group_3,4,0.9282154809026157,0.943543016910553,0.23775708675384521,,,
realmlp,all,5,0.879913372151992,0.6439140439033508,0.49898526072502136,0.9414491995292551,0.4102388234699474,0.39056286215782166
realmlp,kpx_group_1,5,0.8899942443651312,0.5813175439834595,0.5535675883293152,,,
realmlp,kpx_group_2,5,0.8417852599831188,0.6831136345863342,0.47895094752311707,,,
realmlp,kpx_group_3,5,0.9079606331446591,0.6673108339309692,0.46443721652030945,,,
realmlp,all,6,0.8183915904339623,0.6293765902519226,0.5221869349479675,0.8757564504356945,0.3824324169579674,0.37476933002471924
realmlp,kpx_group_1,6,0.8327477434102226,0.6478596329689026,0.5406585931777954,,,
realmlp,kpx_group_2,6,0.7779184465899187,0.5976744890213013,0.5343672037124634,,,
realmlp,kpx_group_3,6,0.8445085760425118,0.642595648765564,0.49153488874435425,,,
realmlp,all,7,0.7646816057317397,0.5740960240364075,0.5570651292800903,0.8191985084730036,0.36344607612665963,0.3849320411682129
realmlp,kpx_group_1,7,0.7672488067079993,0.5441234707832336,0.5787299871444702,,,
realmlp,kpx_group_2,7,0.7296452013885274,0.5749387145042419,0.5529469847679138,,,
realmlp,kpx_group_3,7,0.7971507775432923,0.6032259464263916,0.5395184755325317,,,
realmlp,all,8,0.7176487349412021,0.6262242794036865,0.5181413292884827,0.7703082044334972,0.35106316077358585,0.41115859150886536
realmlp,kpx_group_1,8,0.7200152689919752,0.6312646269798279,0.5204025506973267,,,
realmlp,kpx_group_2,8,0.6810697571319693,0.5864281058311462,0.5452806949615479,,,
