model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,1.011565320632037,0.6695325970649719,0.4883420765399933,0.24926455318927765,0.22594870626926422,1.1394363080754,0.8524731660590452,0.5445201992988586,0.0,
realmlp,kpx_group_1,1,1.0234304017880385,0.6643147468566895,0.5070881247520447,0.22041349112987518,0.23458980023860931,,,,,
realmlp,kpx_group_2,1,1.0047129585462458,0.6443666815757751,0.507136881351471,0.2525836229324341,0.2668573558330536,,,,,
realmlp,kpx_group_3,1,1.0065526366233826,0.6999163627624512,0.4508012533187866,0.2747965157032013,0.17639897763729095,,,,,
realmlp,all,2,0.9602927057182088,0.6738901734352112,0.48232927918434143,0.24485330283641815,0.209511861205101,1.0428845742169548,0.5506124768187018,0.4234785735607147,0.0,
realmlp,kpx_group_1,2,0.9497240571414723,0.5936387181282043,0.5734267830848694,0.1653706133365631,0.3122241795063019,,,,,
realmlp,kpx_group_2,2,0.9550559178871267,0.7162709832191467,0.4407608211040497,0.27035295963287354,0.1518745869398117,,,,,
realmlp,kpx_group_3,2,0.9760981167063993,0.7117608189582825,0.43280029296875,0.29883629083633423,0.16443684697151184,,,,,
realmlp,all,3,0.9371108035830891,0.6819375157356262,0.4606664180755615,0.2565619945526123,0.17789481580257416,1.0037420751417385,0.4442084541215616,0.4274440109729767,0.0,
realmlp,kpx_group_1,3,0.9144134880865321,0.6848604679107666,0.47022390365600586,0.21862256526947021,0.15907040238380432,,,,,
realmlp,kpx_group_2,3,0.930307570625754,0.6198822855949402,0.49914824962615967,0.2696460485458374,0.26794254779815674,,,,,
realmlp,kpx_group_3,3,0.9666113511604422,0.7410697340965271,0.41262704133987427,0.2814173996448517,0.10667148232460022,,,,,
realmlp,all,4,0.904022653313244,0.7230343818664551,0.4709547460079193,0.29999813437461853,0.24190755188465118,0.9662456959486008,0.41482029679943533,0.4321383535861969,0.0,
realmlp,kpx_group_1,4,0.8862420802607256,0.903867781162262,0.3975676894187927,0.4077722132205963,0.202907532453537,,,,,
realmlp,kpx_group_2,4,0.8942199682488161,0.6873756647109985,0.4596528708934784,0.24292851984500885,0.16223423182964325,,,,,
realmlp,kpx_group_3,4,0.9316058956524905,0.5778596997261047,0.555643618106842,0.24929365515708923,0.3605809211730957,,,,,
realmlp,all,5,0.8700859564192155,0.7191023826599121,0.42606624960899353,0.2960983216762543,0.14823082089424133,0.9295537349055795,0.39645176249391895,0.4285527765750885,0.0,
realmlp,kpx_group_1,5,0.8576332164161345,0.738996148109436,0.4192146062850952,0.2638137936592102,0.10224299132823944,,,,,
realmlp,kpx_group_2,5,0.8567652413073708,0.5680443048477173,0.564754068851471,0.18784943222999573,0.31735751032829285,,,,,
realmlp,kpx_group_3,5,0.8958594316945356,0.850266695022583,0.2942301034927368,0.4366317391395569,0.025091923773288727,,,,,
realmlp,all,6,0.8241507612607059,0.6779508590698242,0.4764854907989502,0.2174280434846878,0.1703990250825882,0.8802666778073591,0.3741060004514806,0.4125090539455414,0.0,
realmlp,kpx_group_1,6,0.8105126259958043,0.6311061382293701,0.5180650353431702,0.187382772564888,0.22351284325122833,,,,,
realmlp,kpx_group_2,6,0.8139222711324692,0.6666906476020813,0.4864240884780884,0.21009065210819244,0.18293879926204681,,,,,
realmlp,kpx_group_3,6,0.8480174182092443,0.7360557317733765,0.42496737837791443,0.25481072068214417,0.10474542528390884,,,,,
realmlp,all,7,0.7671653470572304,0.5983873605728149,0.5413369536399841,0.18208430707454681,0.26475825905799866,0.8199673408971113,0.3520132496076472,0.39900434017181396,0.0,
realmlp,kpx_group_1,7,0.7520801661645665,0.5578192472457886,0.5713410973548889,0.1614082008600235,0.30409038066864014,,,,,
realmlp,kpx_group_2,7,0.7512816427385106,0.6137011051177979,0.5302608013153076,0.17749886214733124,0.23802043497562408,,,,,
realmlp,kpx_group_3,7,0.7981342357747695,0.6236416101455688,0.5224090218544006,0.2073458433151245,0.25216391682624817,,,,,
realmlp,all,8,0.7219827683532939,0.6223060488700867,0.52633136510849,0.17437522113323212,0.2270379662513733,0.7734774587785497,0.3432979215593899,0.40240588784217834,0.0,
realmlp,kpx_group_1,8,0.712351151248988,0.5549032688140869,0.5782561898231506,0.148003950715065,0.3045163154602051,,,,,
realmlp,kpx_group_2,8,0.7058952608529259,0.6407820582389832,0.5165711045265198,0.17085275053977966,0.20399494469165802,,,,,
realmlp,kpx_group_3,8,0.7477018868221956,0.6712327003479004,0.48416686058044434,0.20426896214485168,0.17260262370109558,,,,,
realmlp,all,9,0.6747050022377687,0.5328795313835144,0.5921049118041992,0.15755097568035126,0.3417607843875885,0.7239920873852337,0.32858053726308484,0.4322238862514496,0.0,
realmlp,kpx_group_1,9,0.6569743691121831,0.5694356560707092,0.5747396349906921,0.13551580905914307,0.28499507904052734,,,,,
realmlp,kpx_group_2,9,0.6640898918404299,0.4825058877468109,0.6209334135055542,0.17375506460666656,0.41562193632125854,,,,,
