model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,1.0173131464158787,0.69762122631073,0.4590161442756653,0.2653810977935791,0.18341341614723206,1.1404717003597933,0.8210569804205614,0.5191136598587036,0.0,
realmlp,kpx_group_1,1,1.0290357873720282,0.7052826881408691,0.45750030875205994,0.2807474434375763,0.19574804604053497,,,,,
realmlp,kpx_group_2,1,1.005590500200496,0.6899597644805908,0.4605320394039154,0.2500147223472595,0.17107878625392914,,,,,
realmlp,kpx_group_3,1,1.01176900898709,0.7249054312705994,0.4233644902706146,0.28950199484825134,0.13623099029064178,,,,,
realmlp,all,2,0.9573801668251262,0.6867483854293823,0.49482184648513794,0.22526630759239197,0.21491006016731262,1.0363629591815613,0.5265519220162841,0.42939281463623047,0.0,
realmlp,kpx_group_1,2,0.9476968733703389,0.6964849233627319,0.4589812457561493,0.2316834181547165,0.14964593946933746,,,,,
realmlp,kpx_group_2,2,0.9670634716749191,0.6770117878913879,0.530662477016449,0.21884916722774506,0.2801741361618042,,,,,
realmlp,kpx_group_3,2,1.0075430168825037,0.7180551886558533,0.4614039659500122,0.2643471956253052,0.1871551126241684,,,,,
realmlp,all,3,0.9329650367007536,0.693982720375061,0.4762898087501526,0.2424442619085312,0.19502392411231995,0.9978190117022571,0.43235983874867945,0.4258756637573242,0.0,
realmlp,kpx_group_1,3,0.9312548006282133,0.6749386787414551,0.5075975656509399,0.24698078632354736,0.262175977230072,,,,,
realmlp,kpx_group_2,3,0.9346752745263717,0.7130267024040222,0.4449820816516876,0.23790770769119263,0.12787188589572906,,,,,
realmlp,kpx_group_3,3,1.0232318429385914,0.8810322284698486,0.2803366184234619,0.4467507302761078,0.007423977367579937,,,,,
realmlp,all,4,0.9096773424569298,0.6503371000289917,0.49843472242355347,0.20027020573616028,0.1971396505832672,0.972845691968413,0.42112228712614846,0.4310433864593506,0.0,
realmlp,kpx_group_1,4,0.9064211994409561,0.6081535816192627,0.5325331687927246,0.18329420685768127,0.2483605295419693,,,,,
realmlp,kpx_group_2,4,0.9129335012506036,0.6925206184387207,0.4643362760543823,0.21724621951580048,0.14591878652572632,,,,,
realmlp,kpx_group_3,4,1.0735937812749077,0.6254090666770935,0.5147157907485962,0.23006778955459595,0.25949931144714355,,,,,
realmlp,all,5,0.8719515037887237,0.6306312084197998,0.5268484354019165,0.19544917345046997,0.24914608895778656,0.9322883390328464,0.4022456368102747,0.3941349983215332,0.0,
realmlp,kpx_group_1,5,0.8687302952303606,0.6465844511985779,0.5055184364318848,0.1879330724477768,0.1989699751138687,,,,,
realmlp,kpx_group_2,5,0.8751726930632311,0.6146777868270874,0.5481784343719482,0.20296525955200195,0.2993221879005432,,,,,
realmlp,kpx_group_3,5,1.0090640362571268,1.023506760597229,0.3981802463531494,0.4630700945854187,0.25943055748939514,,,,,
realmlp,all,6,0.8189852132516748,0.6159882545471191,0.5159377455711365,0.2285088747739792,0.2603844404220581,0.8757152303176767,0.37820007432909575,0.4482462406158447,0.0,
realmlp,kpx_group_1,6,0.8156162272481358,0.5421586036682129,0.5695424675941467,0.22128479182720184,0.3603697121143341,,,,,
realmlp,kpx_group_2,6,0.8223542062675252,0.6898179054260254,0.4623330533504486,0.2357330024242401,0.1603991538286209,,,,,
realmlp,kpx_group_3,6,0.9958021675839144,0.640351414680481,0.5067703127861023,0.20276875793933868,0.21630939841270447,,,,,
realmlp,all,7,0.7672691275091732,0.6091084480285645,0.5357627272605896,0.17390665411949158,0.2454320788383484,0.821429934571771,0.3610720183042919,0.41631585359573364,0.0,
realmlp,kpx_group_1,7,0.7701654337784823,0.6006181240081787,0.5490553379058838,0.15119925141334534,0.2493099421262741,,,,,
realmlp,kpx_group_2,7,0.764372839647181,0.6175986528396606,0.5224701166152954,0.19661404192447662,0.24155421555042267,,,,,
realmlp,kpx_group_3,7,0.9511527717113495,0.6113907694816589,0.5210870504379272,0.22468407452106476,0.26685819029808044,,,,,
realmlp,all,8,0.7210997579728856,0.5531306266784668,0.5711981058120728,0.18146824836730957,0.32386454939842224,0.7731640794697929,0.34709547460079193,0.4181879162788391,0.0,
realmlp,kpx_group_1,8,0.7218456294606713,0.6070969104766846,0.5429985523223877,0.15326648950576782,0.23926357924938202,,,,,
realmlp,kpx_group_2,8,0.720353893497411,0.4991644024848938,0.5993977189064026,0.2096700370311737,0.40846550464630127,,,,,
realmlp,kpx_group_3,8,0.9058938482228447,0.6963886618614197,0.48534828424453735,0.22744204103946686,0.19813856482505798,,,,,
