model,target,n_fit_rows,best_iteration,max_training_length,loss_name,selection_metric,elapsed_seconds
realmlp,kpx_group_1,17411,52,200,ficr-aware,ficr-aware-loss,1727.5679178999271
realmlp,kpx_group_2,17412,52,200,ficr-aware,ficr-aware-loss,1727.5679178999271
realmlp,kpx_group_3,8749,52,200,ficr-aware,ficr-aware-loss,1727.5679178999271
