model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
realmlp,kpx_group_1,2443,0.11901706311379509,0.8809829368862049,0.4607891206075717,0.3479328694228408,0.10601719197707736,0.5460499386000819
realmlp,kpx_group_2,2397,0.12456163159853233,0.8754383684014677,0.4656927948574345,0.3333333333333333,0.1047142261159783,0.5619524405506884
realmlp,kpx_group_3,2159,0.15020374179831253,0.8497962582016875,0.352440246650398,0.2968967114404817,0.08707735062528948,0.6160259379342288
