model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,kpx_group_1,7,0.749694849638378,0.6207902431488037,0.5302410125732422,0.1654869019985199,0.22596898674964905,,,,,
realmlp,kpx_group_2,7,0.7475101544576532,0.5697702765464783,0.5562241673469543,0.19387808442115784,0.30632638931274414,,,,,
realmlp,kpx_group_3,7,0.7802184881532893,0.5729007720947266,0.5829715728759766,0.19493290781974792,0.3608761131763458,,,,,
realmlp,all,8,0.7146447414861006,0.6486197113990784,0.5075435638427734,0.18015222251415253,0.19523942470550537,0.7693163384409512,0.3644772671601352,0.47593244910240173,0.0,
realmlp,kpx_group_1,8,0.7003872850361992,0.6536985635757446,0.5060628056526184,0.1735551804304123,0.1856808364391327,,,,,
realmlp,kpx_group_2,8,0.7026178196949118,0.6689077615737915,0.4954099655151367,0.17590005695819855,0.16672000288963318,,,,,
realmlp,kpx_group_3,8,0.7409291284925797,0.623252809047699,0.5211580395698547,0.19100137054920197,0.23331740498542786,,,,,
realmlp,all,9,0.6721190442057217,0.5662281513214111,0.5666448473930359,0.1738077849149704,0.3070974051952362,0.7249477304079953,0.3521912422250299,0.5055920481681824,0.0,
realmlp,kpx_group_1,9,0.6635238326647702,0.586100161075592,0.5591012835502625,0.14948464930057526,0.26768723130226135,,,,,
realmlp,kpx_group_2,9,0.6582992339835447,0.47565311193466187,0.6231152415275574,0.19686247408390045,0.443092942237854,,,,,
realmlp,kpx_group_3,9,0.694534082623089,0.6369312405586243,0.5177179574966431,0.1750762015581131,0.21051211655139923,,,,,
realmlp,all,10,0.6190622536575093,0.5606985092163086,0.5732355713844299,0.15521597862243652,0.3016871213912964,0.6705691306030049,0.3433791749617633,0.5050572156906128,0.0,
realmlp,kpx_group_1,10,0.6184511491480995,0.5647502541542053,0.5752933025360107,0.13739590346813202,0.2879825234413147,,,,,
realmlp,kpx_group_2,10,0.6058937977342045,0.5128173828125,0.6056433916091919,0.15609315037727356,0.36737996339797974,,,,,
realmlp,kpx_group_3,10,0.6328418070779127,0.60452800989151,0.5387699604034424,0.1721588373184204,0.24969881772994995,,,,,
realmlp,all,11,0.5919164612012751,0.5389705896377563,0.59256511926651,0.15034572780132294,0.33547601103782654,0.6423384170321857,0.33614638929857926,0.49623140692710876,0.0,
realmlp,kpx_group_1,11,0.5906713517273173,0.5419390201568604,0.5956465005874634,0.133107528090477,0.32440057396888733,,,,,
realmlp,kpx_group_2,11,0.5827824517207987,0.460771381855011,0.642027735710144,0.1631210297346115,0.4471765160560608,,,,,
realmlp,kpx_group_3,11,0.6022955521064646,0.6142014265060425,0.5400211811065674,0.15480859577655792,0.23485088348388672,,,,,
realmlp,all,12,0.5724449420676512,0.5310318470001221,0.5974110960960388,0.14818638563156128,0.34300851821899414,0.6219634939642513,0.33012371773228927,0.5095489621162415,0.0,
realmlp,kpx_group_1,12,0.57445749465157,0.5175479054450989,0.6101379990577698,0.13076253235340118,0.35103848576545715,,,,,
realmlp,kpx_group_2,12,0.5629610103719375,0.4706273078918457,0.6365529894828796,0.1589752584695816,0.4320812523365021,,,,,
realmlp,kpx_group_3,12,0.5799162905005848,0.6049202680587769,0.5455422401428223,0.15482133626937866,0.24590584635734558,,,,,
realmlp,all,13,0.5621266435174381,0.5299058556556702,0.5987979173660278,0.14751721918582916,0.34511300921440125,0.6114644399460625,0.3289186516228844,0.5084260106086731,0.0,
realmlp,kpx_group_1,13,0.567079162772964,0.5332209467887878,0.6012201309204102,0.1304471492767334,0.3328874111175537,,,,,
realmlp,kpx_group_2,13,0.5528919582857805,0.4615941345691681,0.6407832503318787,0.15965378284454346,0.4412202537059784,,,,,
realmlp,kpx_group_3,13,0.5664088173824198,0.5949023365974426,0.5543903112411499,0.15245075523853302,0.261231392621994,,,,,
realmlp,all,14,0.5602365679600659,0.5258147716522217,0.6027869582176208,0.14747965335845947,0.35305356979370117,0.6094681541709339,0.32821053047390547,0.5101619362831116,0.0,
realmlp,kpx_group_1,14,0.5648657337707632,0.5224481821060181,0.6113474369049072,0.1302536278963089,0.35294845700263977,,,,,
realmlp,kpx_group_2,14,0.5525314150487676,0.45935487747192383,0.6439677476882935,0.16004088521003723,0.447976291179657,,,,,
realmlp,kpx_group_3,14,0.5633125620729783,0.5956413745880127,0.5530457496643066,0.1521444469690323,0.25823599100112915,,,,,
realmlp,all,15,0.5613878255381304,0.528237521648407,0.599482536315918,0.14915314316749573,0.34811821579933167,0.6107287740006166,0.3289396946921068,0.5179346203804016,0.0,
realmlp,kpx_group_1,15,0.5653792330447365,0.5345464944839478,0.5993659496307373,0.13140985369682312,0.3301418423652649,,,,,
realmlp,kpx_group_2,15,0.5518740888904122,0.4590112268924713,0.6433823108673096,0.16188514232635498,0.44864973425865173,,,,,
realmlp,kpx_group_3,15,0.5669101459138534,0.5911547541618347,0.555699348449707,0.1541643887758255,0.26556313037872314,,,,,
realmlp,all,16,0.5620134183589149,0.5312614440917969,0.5963971018791199,0.14974378049373627,0.3425379693508148,0.6113515654030968,0.32892098935211406,0.5240566730499268,0.0,
realmlp,kpx_group_1,16,0.5676551058011896,0.5290216207504272,0.6040350198745728,0.13116569817066193,0.33923569321632385,,,,,
realmlp,kpx_group_2,16,0.5511503850712496,0.46104034781455994,0.6388078927993774,0.1663188338279724,0.4439345598220825,,,,,
realmlp,kpx_group_3,16,0.5672347668339225,0.603722333908081,0.5463484525680542,0.15174679458141327,0.24444366991519928,,,,,
realmlp,all,17,0.5638125459937489,0.5390385389328003,0.5916669368743896,0.14766176044940948,0.3309955894947052,0.6130219154498157,0.3280625334557365,0.5050137639045715,0.0,
realmlp,kpx_group_1,17,0.5667265285463894,0.5257728695869446,0.6015714406967163,0.13223527371883392,0.33537814021110535,,,,,
realmlp,kpx_group_2,17,0.5530169316950966,0.4802110195159912,0.6311767101287842,0.1588164120912552,0.42116987705230713,,,,,
realmlp,kpx_group_3,17,0.5716941496905159,0.6111316084861755,0.5422526001930237,0.15193359553813934,0.2364388108253479,,,,,
realmlp,all,18,0.5721903986790601,0.5411666035652161,0.5896921157836914,0.15098696947097778,0.33037129044532776,0.6218398406225092,0.3309962447075283,0.5121163725852966,0.0,
realmlp,kpx_group_1,18,0.5707519755643957,0.5732427835464478,0.5702821612358093,0.1373046338558197,0.27786898612976074,,,,,
realmlp,kpx_group_2,18,0.559342482510735,0.4538816213607788,0.6499133110046387,0.1605192869901657,0.46034589409828186,,,,,
realmlp,kpx_group_3,18,0.5864767370855107,0.5963754057884216,0.5488809943199158,0.15513700246810913,0.25289902091026306,,,,,
realmlp,all,19,0.5711516492507037,0.5753318071365356,0.5647161602973938,0.1533602774143219,0.2827926576137543,0.621235686189988,0.3338935896754265,0.5464199185371399,0.0,
realmlp,kpx_group_1,19,0.5674407000050825,0.5834507942199707,0.5638668537139893,0.1348445862531662,0.2625782787799835,,,,,
realmlp,kpx_group_2,19,0.5586736254832324,0.5283830761909485,0.5916014909744263,0.16500353813171387,0.3482065796852112,,,,,
realmlp,kpx_group_3,19,0.5873406222637962,0.6141615509986877,0.5386801958084106,0.16023267805576324,0.23759309947490692,,,,,
realmlp,all,20,0.5709009231889949,0.5553855895996094,0.5778613686561584,0.15575268864631653,0.3114754855632782,0.6210056166438496,0.33403133644777183,0.5335497260093689,0.0,
realmlp,kpx_group_1,20,0.5738037465249791,0.5851038098335266,0.5633828639984131,0.13854484260082245,0.2653105556964874,,,,,
realmlp,kpx_group_2,20,0.5522988508729374,0.4873962104320526,0.623035192489624,0.1624724417924881,0.4085428714752197,,,,,
realmlp,kpx_group_3,20,0.5866001634036794,0.5936568379402161,0.547166109085083,0.16624076664447784,0.26057299971580505,,,,,
realmlp,all,21,0.5606073596898247,0.5622868537902832,0.5744268298149109,0.15186768770217896,0.3007214069366455,0.6104929824085796,0.33257083244183483,0.5359258651733398,0.0,
