model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,kpx_group_1,6,0.1190561430857462,0.07574799656867981,0.6132827997207642,0.12656788527965546,0.3531334698200226,,,,,
realmlp,kpx_group_2,6,0.10450092790757909,0.08822128176689148,0.652397871017456,0.16055774688720703,0.46535351872444153,,,,,
realmlp,kpx_group_3,6,0.13390408730243936,0.09722140431404114,0.5654960870742798,0.14272350072860718,0.2737157344818115,,,,,
realmlp,all,7,0.10906849505708498,0.08541545271873474,0.6206908822059631,0.1466788500547409,0.388060599565506,0.15295021937173955,0.2925448229207712,0.40590381622314453,0.0,
realmlp,kpx_group_1,7,0.10809161152471514,0.0734705924987793,0.6325830221176147,0.12944737076759338,0.3946133852005005,,,,,
realmlp,kpx_group_2,7,0.09577326684751931,0.08832493424415588,0.6612421274185181,0.1609862744808197,0.4834705889225006,,,,,
realmlp,kpx_group_3,7,0.12334060745642465,0.09445083141326904,0.5682474374771118,0.14960287511348724,0.28609782457351685,,,,,
realmlp,all,8,0.10186737074571497,0.0846317782998085,0.619400680065155,0.14449284970760345,0.3832941949367523,0.14450792201301632,0.2842703189919977,0.36707010865211487,0.0,
realmlp,kpx_group_1,8,0.10012831144473132,0.0730900764465332,0.630656361579895,0.12673375010490417,0.3880464732646942,,,,,
realmlp,kpx_group_2,8,0.08931788583012189,0.08713038265705109,0.6594348549842834,0.15927013754844666,0.47813984751701355,,,,,
realmlp,kpx_group_3,8,0.1161559161675327,0.09367485344409943,0.5681108236312866,0.14747466146945953,0.2836962640285492,,,,,
realmlp,all,9,0.09560302228612058,0.0838707759976387,0.6184786558151245,0.14208191633224487,0.3790391981601715,0.13732531184659286,0.2781485919566715,0.38016262650489807,0.0,
realmlp,kpx_group_1,9,0.09333122127196368,0.07367324829101562,0.625463604927063,0.12789621949195862,0.3788233995437622,,,,,
realmlp,kpx_group_2,9,0.08376427937079878,0.08501118421554565,0.6631580591201782,0.15601037442684174,0.48232656717300415,,,,,
realmlp,kpx_group_3,9,0.10971356895478333,0.09292788058519363,0.5668143033981323,0.14233919978141785,0.2759677767753601,,,,,
realmlp,all,10,0.09058776968980536,0.08488724380731583,0.6290706992149353,0.1449621319770813,0.40310344099998474,0.1311548616298858,0.2704472618506235,0.3736080229282379,0.0,
realmlp,kpx_group_1,10,0.08836790743996115,0.0710020437836647,0.657015860080719,0.12755750119686127,0.44158923625946045,,,,,
realmlp,kpx_group_2,10,0.08044193641227834,0.08767767995595932,0.6597205996513367,0.1601279377937317,0.47956913709640503,,,,,
realmlp,kpx_group_3,10,0.10295347058597733,0.09598200023174286,0.5704755187034607,0.14720095694065094,0.28815197944641113,,,,,
realmlp,all,11,0.08718126990339335,0.0833057090640068,0.6219775080680847,0.14160434901714325,0.3855593204498291,0.12671205149415662,0.26353853721829024,0.3706153929233551,0.0,
realmlp,kpx_group_1,11,0.08492263779044151,0.07253791391849518,0.636501669883728,0.12709839642047882,0.40010175108909607,,,,,
realmlp,kpx_group_2,11,0.07763635432895492,0.084056556224823,0.6616203188896179,0.15486107766628265,0.4781017601490021,,,,,
realmlp,kpx_group_3,11,0.09898481748121626,0.09332262724637985,0.5678104162216187,0.14285355806350708,0.2784744203090668,,,,,
realmlp,all,12,0.08415123940828968,0.08431228250265121,0.6213069558143616,0.14300678670406342,0.38562068343162537,0.12296594525961314,0.25876469603356195,0.3634216785430908,0.0,
realmlp,kpx_group_1,12,0.08253757162567447,0.07259058952331543,0.638547420501709,0.12672081589698792,0.40381568670272827,,,,,
realmlp,kpx_group_2,12,0.07538130276781671,0.08619058132171631,0.6581820249557495,0.15718930959701538,0.473553329706192,,,,,
realmlp,kpx_group_3,12,0.09453484196873273,0.0941556990146637,0.5671913623809814,0.14511020481586456,0.27949288487434387,,,,,
realmlp,all,13,0.08242694989723318,0.08422833681106567,0.618223249912262,0.1422378569841385,0.3786844313144684,0.12086871836115332,0.25627844846423936,0.3631819784641266,0.0,
realmlp,kpx_group_1,13,0.08083199019379475,0.07345326244831085,0.625930905342102,0.12674878537654877,0.37861067056655884,,,,,
realmlp,kpx_group_2,13,0.0740026980638504,0.08490707725286484,0.6628178358078003,0.15525572001934052,0.48089146614074707,,,,,
realmlp,kpx_group_3,13,0.09244615924270715,0.09432466328144073,0.5659210681915283,0.144709050655365,0.276551216840744,,,,,
realmlp,all,14,0.0821934469482478,0.08413805812597275,0.6201174855232239,0.14206485450267792,0.3822997510433197,0.12041703797876835,0.2548239279319258,0.36205554008483887,0.0,
realmlp,kpx_group_1,14,0.08073438605403199,0.07307430356740952,0.6316994428634644,0.12657223641872406,0.38997113704681396,,,,,
realmlp,kpx_group_2,14,0.07380266202723279,0.08518026769161224,0.6626678109169006,0.15544933080673218,0.48078498244285583,,,,,
realmlp,kpx_group_3,14,0.09204329254434389,0.0941595733165741,0.5659850835800171,0.14417298138141632,0.2761431336402893,,,,,
realmlp,all,15,0.08225202155025567,0.08409124612808228,0.6259351372718811,0.14254985749721527,0.3944202661514282,0.12060294442755334,0.2556728196932989,0.35487279295921326,0.0,
realmlp,kpx_group_1,15,0.08059225921683452,0.07226863503456116,0.6445563435554504,0.12629564106464386,0.41540828347206116,,,,,
realmlp,kpx_group_2,15,0.07376900194760631,0.08585689961910248,0.6603419780731201,0.15584935247898102,0.47653335332870483,,,,,
realmlp,kpx_group_3,15,0.09239480260978727,0.09414820373058319,0.5729072690010071,0.14550453424453735,0.2913191020488739,,,,,
realmlp,all,16,0.08261023779564045,0.08464285731315613,0.6191985011100769,0.1425115168094635,0.3809085190296173,0.12108744067304275,0.25651466408196616,0.36021187901496887,0.0,
realmlp,kpx_group_1,16,0.08104744137210004,0.07282239943742752,0.632867693901062,0.1269191950559616,0.3926546573638916,,,,,
realmlp,kpx_group_2,16,0.07410271049422376,0.08535227179527283,0.6605868935585022,0.15625041723251343,0.4774242043495178,,,,,
realmlp,kpx_group_3,16,0.0926805627258385,0.09575389325618744,0.5641408562660217,0.14436492323875427,0.2726466953754425,,,,,
realmlp,all,17,0.08292953363236259,0.08567669987678528,0.6228716373443604,0.1433870941400528,0.3891303539276123,0.12141959895105923,0.25660042640040903,0.35212382674217224,0.0,
realmlp,kpx_group_1,17,0.08131033477976042,0.07158368825912476,0.6492892503738403,0.12637877464294434,0.4249572157859802,,,,,
realmlp,kpx_group_2,17,0.0742769252289744,0.08709825575351715,0.6598138213157654,0.1579577922821045,0.47758540511131287,,,,,
