model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,regime_train_loss,regime_validation_loss,regime_train_entropy,regime_validation_entropy
realmlp,all,1,0.6930843346259173,0.5268280506134033,0.5948227047920227,1.009609423139516,3.165250830790576,1.382642149925232,0.7178710690316032,0.8375473022460938
realmlp,kpx_group_1,1,0.6874713485731798,0.49080079793930054,0.6280889511108398,,,,,
realmlp,kpx_group_2,1,0.6899192867910161,0.48223191499710083,0.6202496290206909,,,,,
realmlp,kpx_group_3,1,0.7018623737727895,0.607451319694519,0.5361295342445374,,,,,
realmlp,all,2,0.5912231934421203,0.47771668434143066,0.6305646300315857,0.7723370983320124,1.811138912158854,1.3430522680282593,0.6362583102548823,0.7111390233039856
realmlp,kpx_group_1,2,0.5926030681413763,0.4286452531814575,0.6755765676498413,,,,,
realmlp,kpx_group_2,2,0.56493999589892,0.508867084980011,0.5971041917800903,,,,,
realmlp,kpx_group_3,2,0.6161265145329868,0.49563759565353394,0.6190131902694702,,,,,
realmlp,all,3,0.5655825953273212,0.47076502442359924,0.6409768462181091,0.7200262178392971,1.5444361339597141,1.2287298440933228,0.6149783248410505,0.7360411882400513
realmlp,kpx_group_1,3,0.5625664994997137,0.4570713937282562,0.6549265384674072,,,,,
realmlp,kpx_group_2,3,0.5352378321044585,0.4450951814651489,0.6571587324142456,,,,,
realmlp,kpx_group_3,3,0.5989434648962582,0.5101284980773926,0.6108452081680298,,,,,
realmlp,all,4,0.5548583400600097,0.4668540954589844,0.6421855092048645,0.6936789777349023,1.3882062435150146,1.2630220651626587,0.6142488428775001,0.6868748068809509
realmlp,kpx_group_1,4,0.5546543606940437,0.4280049800872803,0.6769642233848572,,,,,
realmlp,kpx_group_2,4,0.521240613916341,0.46136295795440674,0.6397784948348999,,,,,
realmlp,kpx_group_3,4,0.5886800543350332,0.5111943483352661,0.6098139882087708,,,,,
realmlp,all,5,0.5417893967207741,0.4665200710296631,0.6454715132713318,0.6724093056776944,1.3061989843845367,1.147793173789978,0.5861504261984545,0.6466050744056702
realmlp,kpx_group_1,5,0.5403510393465266,0.4660419523715973,0.6504531502723694,,,,,
realmlp,kpx_group_2,5,0.507165859289029,0.4375070631504059,0.6632980108261108,,,,,
realmlp,kpx_group_3,5,0.5778513138785082,0.4960111975669861,0.6226633191108704,,,,,
