rank,model,display_name,validation_score,one_minus_nmae,ficr,dacon_score,dacon_one_minus_nmae,dacon_ficr
1,realmlp,RealMLP,0.6207028163552055,0.8747467263804104,0.36665890633000053,0.6242991979,0.8700049893,0.3785934064
2,lightgbm,LightGBM,0.6164297566209591,0.8731788827400507,0.3596806305018674,0.6201627262,0.8707253434,0.3696001091
3,tabm,TabM,0.6158251032712708,0.8767785893371978,0.35487161720534394,0.6130191158,0.8720390765,0.3539991551
4,catboost,CatBoost,0.6126026090199095,0.873281054068568,0.3519241639712509,0.6213742666,0.8698054836,0.3729430495
5,xrfm,xRFM,0.5986969876202408,0.8673796298337672,0.33001434540671437,0.6145798396,0.870830929,0.3583287501
