delivery_month,model,score,one_minus_nmae,ficr,kpx_group_1__nmae,kpx_group_1__ficr,kpx_group_2__nmae,kpx_group_2__ficr,kpx_group_3__nmae,kpx_group_3__ficr
2024-07,lightgbm,0.6054063650799721,0.8594247361511319,0.3513879940088123,0.1341960467532366,0.3481324023294015,0.1167081087788523,0.5030035701044234,0.1708216360145154,0.2030280095926119
2024-08,lightgbm,0.6141283186656358,0.869954402495258,0.3583022348360135,0.1249049237505715,0.3546862879201446,0.1268371784280527,0.3743380060765656,0.1383946903356015,0.3458824105113303
2024-09,lightgbm,0.6196315073344693,0.8926260553420604,0.346636959326878,0.1103352486577893,0.355610244554937,0.1044976966767308,0.3714808078709185,0.1072888886392987,0.3128198255547784
2024-10,lightgbm,0.6044529400798199,0.8753110756738036,0.3335948044858361,0.1081343709000589,0.3797681781455062,0.1228258848695519,0.3996143808314096,0.1431065172089783,0.2214018544805925
2024-11,lightgbm,0.586458982746124,0.8656098841639274,0.3073080813283204,0.1110046406752417,0.3905988579211937,0.1196953103249377,0.3641408662141429,0.1724703965080383,0.1671845198496246
2024-12,lightgbm,0.6428481784059047,0.8793718186609931,0.4063245381508162,0.1233031336407351,0.3882592546122649,0.11923218696211,0.3986707856216012,0.1193492234141755,0.4320435742185827
2024-07,catboost,0.597994598035164,0.8597201595897798,0.336269036480548,0.1348580978776346,0.3268670590495542,0.1192683871374418,0.4877069094110506,0.1667130362155843,0.1942331409810394
2024-08,catboost,0.5992555998481658,0.8668804457211572,0.3316307539751744,0.124813783976319,0.3433852092338855,0.1269527288646716,0.3514284396373735,0.1475921499955376,0.3000786130542641
2024-09,catboost,0.6151310884127266,0.8906885467427279,0.3395736300827253,0.1141228703766349,0.3244377502542065,0.1059702607491245,0.3751050636229093,0.1078412286460567,0.3191780763710601
2024-10,catboost,0.6022329939352844,0.8718159166040232,0.3326500712665456,0.1116243831706117,0.3839605396377383,0.1265594236685501,0.3870126958120902,0.1463684433487683,0.2269769783498086
2024-11,catboost,0.5644237346010225,0.8606178387184539,0.2682296304835911,0.1148813938277641,0.3504968895038124,0.1254181027519964,0.2850609920826079,0.1778469872648778,0.1691310098643528
2024-12,catboost,0.6527566469986537,0.8848917308138937,0.4206215631834135,0.1229458099282302,0.3462103605522297,0.1143710975904726,0.4157585884394902,0.1080079000396159,0.4998957405585206
2024-07,tabm,0.5943172488100641,0.8615682814218864,0.3270662161982419,0.1410339427434093,0.3160871727970463,0.1158462155344974,0.4357056191769851,0.1584149974564339,0.2294058566206943
2024-08,tabm,0.615179290572601,0.8712407554204231,0.3591178257247788,0.1232850534185907,0.3285411818802688,0.1215354968595645,0.3740099366467027,0.1414571834605751,0.3748023586473651
2024-09,tabm,0.6366278142171395,0.8933918883012273,0.3798637401330518,0.1048178795280134,0.358575439643725,0.104910096662157,0.3823158590504842,0.1100963589061476,0.3986999217049464
2024-10,tabm,0.6302607978656333,0.8892730451899852,0.3712485505412813,0.100384482718287,0.3819926142428561,0.1075796735542566,0.3917814858699369,0.1242167081575008,0.3399715515110508
2024-11,tabm,0.5818517181742439,0.8696449044656646,0.2940585318828231,0.1146471090000946,0.3201770959616865,0.1194234933305615,0.3559668010802729,0.1569946842723503,0.2060316986065099
2024-12,tabm,0.6405780875230292,0.8814668084199317,0.3996893666261267,0.1144523822444059,0.3679545439128093,0.1168169905695419,0.3905207408264862,0.1243302019262568,0.4405928151390846
2024-07,realmlp,0.5955359481992565,0.8583540885447919,0.3327178078537211,0.1369860099825864,0.3468952593153995,0.1233594113354143,0.4569803135593349,0.1645923130476233,0.1942778506864289
2024-08,realmlp,0.6002667027398204,0.8678955643918677,0.3326378410877731,0.1270827607423152,0.3048344999177034,0.1209333056100146,0.3591949604581499,0.1482972404720671,0.3338840628874659
2024-09,realmlp,0.5853924669036563,0.8800834796346158,0.2907014541726969,0.120126422563379,0.2694677819255183,0.1111733554792192,0.3765633865815163,0.1284497830535542,0.226073194011056
2024-10,realmlp,0.6162034157692547,0.8771811973984328,0.3552256341400766,0.1084623529729552,0.4320137241696378,0.1147025513910478,0.4152097615154541,0.1452915034406984,0.2184534167351379
2024-11,realmlp,0.5972383777185464,0.8734800545534993,0.3209967008835935,0.1109929797148578,0.3671171409544881,0.115415351671365,0.3951961240406016,0.1531515049532794,0.2006768376556907
2024-12,realmlp,0.6653719283325107,0.8866342956879117,0.4441095609771097,0.1145851524417145,0.3822707943728085,0.1100347480526648,0.4488014203198198,0.1154772124418854,0.5012564682387006
2024-07,xrfm,0.58674040138222,0.8513047774982244,0.3221760252662154,0.151206248624016,0.3105227332462227,0.1173942883052391,0.4613952866528663,0.1774851305760714,0.1946100558995573
2024-08,xrfm,0.596287090712107,0.8734473365015238,0.31912684492269,0.1269867623232361,0.3018985107976512,0.1159819933787046,0.3488457352460321,0.1366892347934875,0.306636288724387
2024-09,xrfm,0.624766054243274,0.889728113676756,0.359803994809792,0.1191165901026013,0.3188321432254736,0.1010216826591941,0.4175706343012798,0.1106773862079366,0.3430092069026226
2024-10,xrfm,0.589726118027879,0.8729987669488791,0.3064534691068789,0.1162283584502438,0.3366007386409663,0.117334315793895,0.3387412125619341,0.1474410249092238,0.2440184561177362
2024-11,xrfm,0.5835630204337546,0.8598620366162575,0.3072640042512518,0.1179075628906373,0.3612676255499977,0.1277127344980865,0.3382719407965037,0.1747935927625036,0.222252446407254
2024-12,xrfm,0.6126823661517603,0.8696004896053786,0.355764242698142,0.128378466251773,0.3199582951610589,0.1274108608120575,0.3677209701809619,0.1354092041200335,0.3796134627524055
