model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,1.0087690791663002,0.6867020726203918,0.4987676441669464,0.2467980831861496,0.2443334311246872,1.138260972850463,0.8632793338859782,0.5525531768798828,0.0,
realmlp,kpx_group_1,1,1.022427489652353,0.6776123642921448,0.5052645802497864,0.22248128056526184,0.2330104261636734,,,,,
realmlp,kpx_group_2,1,0.9923766860190559,0.6462746262550354,0.5127973556518555,0.2135666459798813,0.23916135728359222,,,,,
realmlp,kpx_group_3,1,1.0115030390374802,0.736219048500061,0.47824105620384216,0.3043462932109833,0.26082843542099,,,,,
realmlp,all,2,0.9521135363508674,0.7228779792785645,0.4507273733615875,0.27581703662872314,0.1772717833518982,1.037733610938577,0.5708004139802035,0.4223366975784302,0.0,
realmlp,kpx_group_1,2,0.9646161540466196,0.646112859249115,0.507584810256958,0.19695599377155304,0.21212564408779144,,,,,
realmlp,kpx_group_2,2,0.9154942456413718,0.6740897297859192,0.5335778594017029,0.2207813709974289,0.28793707489967346,,,,,
realmlp,kpx_group_3,2,0.976230221636155,0.8484312295913696,0.3110194802284241,0.4097136855125427,0.031752657145261765,,,,,
realmlp,all,3,0.9304312616586685,0.7193136811256409,0.4347743093967438,0.2579496204853058,0.12749828398227692,0.9994912226410473,0.46039967063595266,0.40093231201171875,0.0,
realmlp,kpx_group_1,3,0.9465793932185453,0.7740052342414856,0.37275633215904236,0.3323509991168976,0.07786364108324051,,,,,
realmlp,kpx_group_2,3,0.9022757244460723,0.7017892599105835,0.4590003490447998,0.22044506669044495,0.13844573497772217,,,,,
realmlp,kpx_group_3,3,0.9424386927310158,0.6821465492248535,0.4725663363933563,0.2210528403520584,0.16618548333644867,,,,,
realmlp,all,4,0.9053121989264208,0.6620715260505676,0.5078479647636414,0.24101316928863525,0.25670915842056274,0.9695802234551486,0.428453530458843,0.38003459572792053,0.0,
realmlp,kpx_group_1,4,0.9110879801652011,0.5780235528945923,0.6035669445991516,0.18866463005542755,0.3957985043525696,,,,,
realmlp,kpx_group_2,4,0.8757441929158043,0.6380783319473267,0.5355560183525085,0.22872433066368103,0.2998363971710205,,,,,
realmlp,kpx_group_3,4,0.9291044272044126,0.7701127529144287,0.3844210207462311,0.30565062165260315,0.07449263334274292,,,,,
realmlp,all,5,0.8803056180477142,0.6187978386878967,0.5256912112236023,0.19356177747249603,0.24494417011737823,0.9409771324957118,0.40447673376868754,0.39630845189094543,0.0,
realmlp,kpx_group_1,5,0.8884088186656728,0.5936501622200012,0.5432007312774658,0.18424329161643982,0.2706448435783386,,,,,
realmlp,kpx_group_2,5,0.8421254009008408,0.6371479034423828,0.5103502869606018,0.19488264620304108,0.2155831903219223,,,,,
realmlp,kpx_group_3,5,0.9103826372062459,0.6255955100059509,0.5235225558280945,0.20155936479568481,0.24860446155071259,,,,,
realmlp,all,6,0.8242197422420278,0.6505764126777649,0.5014327168464661,0.19339728355407715,0.1962626725435257,0.8815940671107348,0.38249551461023445,0.4090712368488312,0.0,
realmlp,kpx_group_1,6,0.8243967811850941,0.6292803883552551,0.5220040678977966,0.1721959412097931,0.21620403230190277,,,,,
realmlp,kpx_group_2,6,0.800258655758465,0.656844973564148,0.49999910593032837,0.18954962491989136,0.1895478069782257,,,,,
realmlp,kpx_group_3,6,0.8480037775109796,0.6656038761138916,0.4822949469089508,0.21844631433486938,0.1830361932516098,,,,,
realmlp,all,7,0.7756863245192696,0.6149353981018066,0.5269173979759216,0.18867067992687225,0.24250555038452148,0.8300435972564361,0.36238186543478684,0.3903379440307617,0.0,
realmlp,kpx_group_1,7,0.7839484346263549,0.6167941093444824,0.5311551094055176,0.17693708837032318,0.23924726247787476,,,,,
realmlp,kpx_group_2,7,0.7361623381867128,0.5633887052536011,0.5651277303695679,0.17597144842147827,0.3062268793582916,,,,,
realmlp,kpx_group_3,7,0.80694820951013,0.6646233201026917,0.48446953296661377,0.21310345828533173,0.18204255402088165,,,,,
