model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
realmlp,kpx_group_1,2443,0.11075570293058959,0.8892442970694104,0.4635387888212971,0.359803520261973,0.1051985264019648,0.5349979533360623
realmlp,kpx_group_2,2397,0.11433394557679064,0.8856660544232093,0.46984087756517867,0.36253650396328746,0.10554860241969129,0.5319148936170213
realmlp,kpx_group_3,2159,0.13543524438119148,0.8645647556188085,0.3752561652341478,0.31773969430291804,0.08429828624363131,0.5979620194534506
